Hash,Message
7903272dd,bad artifact name for javadoc artifact
5f0f83111,#52738: safer stream closing.
c28ec7da7,#52740: safer stream closing.
50c1cfa57,#52742: safer stream closing.
778b198fb,Mentioning recent fixes.
246b80980,#52743: stream leak.
fa37ac7cc,Badly formatted message.
300003120,"Update release instructions, delete DOAP file which now lives on the site"
9513b3915,Add an Ant build file to help with the Ant-Build-Matrix on Jenkins
998e10eb2,Commenting out failing test.
1364289f4,Fixed JBoss repo reference.
8fa5e9b72,Trying to diagnose DeleteTest.test9 failures in Ant-Build-Matrix.
83d2993be,Windows-only failure in Ant-Build-Matrix.
c5d14d94c,Refined fix of #52743 to close output stream before renaming temp file. Windows-only failure in Ant-Build-Matrix.
7be0300bd,@link
846806e75,"DeleteTest.test9 failures in Ant-Build-Matrix caused by spaces in workspace path. (<files includes=""${dir}/**""/> is parsed as multiple items.)"
538257ea8,"Weaken antunit location message to warning. Otherwise it can incorrectly fail due to canonicalization differences. https://builds.apache.org/job/Ant_JDK_1.5_Test/453/console antunit-tests: BUILD FAILED /zonestorage/hudson_solaris/home/hudson/hudson-slave/workspace/Ant_JDK_1.5_Test/trunk/build.xml:1927: AntUnit tests must be run with /zonestorage/hudson_solaris/home/hudson/hudson-slave/workspace/Ant_JDK_1.5_Test/trunk/bootstrap (or /zonestorage/hudson_solaris/home/hudson/hudson-slave/workspace/Ant_JDK_1.5_Test/trunk/dist), not /export/home/hudson/hudson-slave/workspace/Ant_JDK_1.5_Test/trunk/bootstrap. Try './build.sh antunit-tests' for example."
d605afdd5,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE
26337bb13,MS_SHOULD_BE_FINAL
fca4fe69e,NS_DANGEROUS_NON_SHORT_CIRCUIT
08cfa7aa7,...and only warn if actually running AntUnit.
e07eede7b,More idiomatic check with Os.isFamily.
78d4c36b5,"Ant-Build-Matrix failure (also local on XP): ""Jar's directory not found: C:\Temp""."
1d05861c2,Trying to make JavaTest more reliably on Windows.
583f7cd1c,Local test failure on XP w/ JDK 7.
7d92ec818,"Clarifying that a FS-only collection might be using any FileProvider, not necessarily FileResource."
6ec534027,"Must have a well-formed URL, or builds.apache.org croaks."
34ec53439,Fixing most Maven warnings.
844a7edee,Consistent indentation.
b61ed496a,Centralized source/target level config.
030eecb1d,Typo caused JAR to be empty.
5ff08103c,"Ongoing random failures in JavaTest, now even on Ubuntu."
19a0a949b,Permit -Drun.junit.report=false (saved about three seconds off single test run).
d516870b6,Random failures in AntClassLoaderTest traceable to different jobs overwriting the same test.jar.
c43ac3bf9,Indentation.
455cd8481,Update the release process: dist is now under svnpubsub
1c63fba0b,make AntUnit tests use a temp-dir inside the build tree rather than
8cab09b51,Use a local temp directory for JUnit tests as well
da0a9ef6d,try to debug test failures in Jenkins
25fbde8b7,test onyl works if invoked from root of Ant's source tree
de0b80895,help debugging Jenkins test failure
72bdafb6b,move test directories out of source tree
22f08c296,Maybe java simply isn't on the PATH on the Jenkins boxes
9abbf2c71,try to see what gets logged
0b981adf8,a problem with the files resource?
18b6cf346,"if test-directory contains spaces, an includes attribute will split it into several patterns"
b3b0de19a,likely a 'space in path' issue as well
a4a5fb9b1,ensure forward-slashes on Windows; deal with directories containing spaces in exec task's arguments
a35572672,help debugging Jenkins failure
