Hash,Message
cecbf5c6b,prepare first RC of 1.9.7
fba0be381,updating Release Instructions - WIP
94bdfe8e9,document next step
e7840bd27,typo and whitespace
55ddb5517,update for our 2-branch model
763c70ba4,and another place that needs an update for the 1.9.x branch
ce5d25715,tweaks
a8a8ba1ee,we can always assume java8+
bcf801667,can't run apt tests with Java8
39a534544,remove tests for JDKs < 8
3c930b932,more obsolete Java version checks
afdf355c6,"remove apt task, there is no apt tool in java8"
dcf24136c,typo
c5e90bead,symlink and executable file selectors
dc34b252d,looks as if the files are executable by default on Windows?
bcfcb4d8e,removed anchor by accident
32bf39369,ownedBy selector
062ccd01f,fix javadoc for parameter in OwnedBySelector#setOwner
8e8f4de8f,Merge tag 'ANT_197_RC1' into 1.9.x
cf2e984d5,Merge branch '1.9.x'
059d44fac,almost complete release instructions
d8e3aa781,add cleanup notes
8767a85c5,Merge branch '1.9.x'
32e3ed022,a few things will be different for 1.10.0
abdaa5845,try running the symlink condition tests on windows as well
03481a6b0,lower-case macro attribute names set via API
f6e6c20a8,Merge branch '1.9.x'
97a0b26c7,helper class for dealing with file permissions
cee2935c7,setpermissions task using NIO rather than platform tools
c7d9b17b0,user setpermissions rather than chmod
d96c85ba4,mklink doesn't work on our Jenkins nodes
75f123740,StringUtils.join: new method
a80c75af5,Files.setPermission may throw additional exceptions (e.g. on Win7-NTFS)
434193d08,whitespace
647bdfb2d,<get>'s quiet attribute is broken
0c2ca5525,Merge branch '1.9.x'
5c24a75a7,fix possible race-condition
fc0b2ab11,Merge branch '1.9.x'
6ab698cf9,optional callbacks for non-POSIX file systems
04b9e2bd1,implement DOS-friendly fallback in setpermissions
24f3afe79,whitespace
c03b8a506,make StingUtils#join do what its tests expect
eb4cd6385,and fix the array-based join method as well
424050061,tabs and linefeeds
e5d53d3e6,enhance chance of tests passing on Windows
259684f03,"new test, mainly to debug error on Windows"
2d21d2667,don't try to set executable permission on Windows
8e87ef9e6,disable a few tests on Windows
0edf3ca25,<zip> up-to-date check doesn't work properly on NTFS
3c37952d6,Merge branch '1.9.x'
f44dd8255,<setpermission> requires Ant 1.10+. For the (nightly) build it is not that important.
de5b4058b,must not set file and dir in <fileset>
73bcc2813,Merge branch '1.9.x'
440021dbf,Merge branch 'master' of https://git-wip-us.apache.org/repos/asf/ant
3fe363e21,add compression support to <scp>
3966616f2,linefeeds
e982f0195,record fix for 58982 by Dana Dahlstrom
d5f2b0c0b,Merge branch '1.9.x'
deaa7d54a,Merge branch 'bug_47552_scp_compression' into 1.9.x
5c13bb841,Merge branch '1.9.x'
5669303f2,<setpermissions>: failonerror=false doesnt work in conjunction with nonPosixMode.
4c903be17,build.xml: undo last change as it doesnt bring the desired result
